title,synopsis,original title,date,score,type,actors,duration,episodes
Les Simpson,The satiric adventures of a working-class family in the misfit city of Springfield.,Original title: The Simpsons,1989– ,8.6,"Animation,Comedy","Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,Yeardley Smith,Hank Azaria,Pamela Hayden,Tress MacNeille,Maggie Roswell,Chris Edgerly,Karl Wiedergott,Russi Taylor,Marcia Wallace,Kevin Michael Richardson,Phil Hartman,Joe Mantegna,Maurice LaMarche,Kelsey Grammer","22, ,minutes",731
Dr House,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,Original title: House M.D.,2004–2012,8.7,"Drama,Mystery","Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,Lisa Edelstein,Bobbin Bergstrom,Jennifer Morrison,Peter Jacobson,Olivia Wilde,Kal Penn,Odette Annable,Charlyne Yi,Anne Dudek,Jennifer Crystal Foley,Amber Tamblyn,Liz Benoit,Stephanie Venditto,Sela Ward","44, ,minutes",176
Justice League Unlimited,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,,2004–2006,8.7,"Animation,Action,Adventure","George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,Susan Eisenberg,Clancy Brown,Michael Rosenbaum,Maria Canals-Barrera,Kin Shriner,CCH Pounder,Lex Lang,Nicholle Tom,Juliet Landau,Jennifer Hale,Michael Beach,Robert Foxworth,Chris Cox,Powers Boothe","23, ,minutes",39
The Thick of It,"Set in the corridors of power and spin, the Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.",,2005–2012,8.7,Comedy,"Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,Rebecca Front,Roger Allam,Will Smith,Olivia Poulet,Vincent Franklin,Ben Willbond,Polly Kemp,Lucinda Raikes,Chris Langham,Justin Edwards,Tony Gardner,Samantha Harrington,Geoffrey Streatfeild,Alex Macqueen","29, ,minutes",24
Aspirants,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,,2021– ,9.7,Drama,"Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal,Sunny Hinduja,Namita Dubey,Kuljeet Singh,Bijou Thaangjam,Abhishek Solanki,Neetu Jhanjhi,Nupur Nagpal,Darius Chinoy,Rahul Bharadwaj,Udit Kulshrestha,Arpit Bhatia,Preeti Agarwal Mehta,Salim Siddiqui,Shivam Kakar,Abhishek Yadav","45, ,minutes",5
Battlestar Galactica,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",,2004–2009,8.7,"Action,Adventure,Drama","Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,Tricia Helfer,Grace Park,Katee Sackhoff,Michael Hogan,Aaron Douglas,Tahmoh Penikett,Alessandro Juliani,Kandyse McClure,Bodie Olmos,Donnelly Rhodes,Michael Trucco,Nicki Clyne,Leah Cairns,Rekha Sharma","44, ,minutes",74
House of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,,2013–2018,8.7,Drama,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,Michael Kelly,Justin Doescher,Derek Cecil,Jayne Atkinson,Nathan Darrow,Mahershala Ali,Boris McGiver,Paul Sparks,Molly Parker,Neve Campbell,Jeremy Holm,Marla Aaron Wapner,Nini Le Huynh,Gregory Divers","51, ,minutes",73
One Piece,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",Original title: One Piece: Wan pîsu,1999– ,8.8,"Animation,Action,Adventure","Mayumi Tanaka,Tony Beck,Laurent Vernin,Akemi Okamura,Kazuya Nakai,Kappei Yamaguchi,Hiroaki Hirata,Ikue Ôtani,Colleen Clinkenbeard,Mahito Ôba,Yuriko Yamaguchi,Kazuki Yao,Chikao Ohtsuka,Luci Christian,Christopher Sabat,Sonny Strait,Eric Vale,Chô","24, ,minutes",1000
The Boys,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,,2019– ,8.7,"Action,Crime,Drama","Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Dominique McElligott,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capon,Karen Fukuhara,Nathan Mitchell,Colby Minifie,Aya Cash,Claudia Doumit,Cameron Crovetti,Elisabeth Shue,Shantel VanSanten,Nneka Elliott","1, ,hour",24
South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",,1997– ,8.7,"Animation,Comedy","Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Omaira Coromoto Rivero,Sergio Sáez,Kyle McCulloch,John 'Nancy' Hansen,Vernon Chatman,Elisa Gabrielli,Betty Boogie Parker,Jonathan Kimmel","22, ,minutes",311
Les aventures de Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",Original title: The Adventures of Sherlock Holmes,1984–1985,8.7,"Crime,Drama,Mystery","Jeremy Brett,David Burke,Rosalie Williams,Eric Porter,Gayle Hunnicutt,Rosalind Knight,Jeremy Kemp,Norman Jones,David Gwillim,Barbara Wilshere,Tenniel Evans,Charles Gray,Joss Ackland,Nicholas Clay,Rosalie Crutchley,Roger Hammond,Rosalyn Landor,John Castle","1, ,hour",13
La fabuleuse Mme Maisel,A housewife in 1958 decides to become a stand-up comic.,Original title: The Marvelous Mrs. Maisel,2017– ,8.7,"Comedy,Drama","Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,Tony Shalhoub,Matilda Szydagis,Nunzio Pascale,Matteo Pascale,Kevin Pollak,Brian Tarantina,Joel Johnstone,Caroline Aaron,Bailey De Young,Cynthia Darlow,Luke Kirby,Jane Lynch,LeRoy McClain,Zachary Levi","57, ,minutes",33
Six pieds sous terre,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,Original title: Six Feet Under,2001–2005,8.7,"Comedy,Drama","Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Freddy Rodríguez,Mathew St. Patrick,Rachel Griffiths,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Richard Jenkins,Giancarlo Rodriguez,Ed O'Ross","1, ,hour",63
Arrested development - Les nouveaux pauvres,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Original title: Arrested Development,2003–2019,8.7,Comedy,"Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard,Henry Winkler,John Beard,Liza Minnelli,Mae Whitman,Justin Grant Wade,Ed Begley Jr.,Isla Fisher,Maria Bamford","22, ,minutes",84
Stranger Things,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",,2016– ,8.7,"Drama,Fantasy,Horror","Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Cara Buono,Noah Schnapp,Sadie Sink,Priah Ferguson,Joe Chrest,Matthew Modine,Dacre Montgomery,Maya Hawke,Brett Gelman","51, ,minutes",34
Leyla ile Mecnun,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",,2011–2021,9.1,"Adventure,Comedy,Drama","Ali Atay,Serkan Keskin,Ahmet Mümtaz Taylan,Osman Sonant,Cengiz Bozkurt,Köksal Engür,Ege Tanman,Nalan Kuruçim,Alican Akman,Engin Günay,Neslihan Aker,Istar Gökseven,Sebahat Adalar,Safak Pekdemir,Mehmet Usta,Güliz Gençoglu,Sarp Aydinoglu,Ipek Türktan","1, ,hour, ,20, ,minutes",114
Succession,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",,2018– ,8.7,Drama,"Nicholas Braun,Brian Cox,Kieran Culkin,Peter Friedman,Matthew Macfadyen,Alan Ruck,Sarah Snook,Jeremy Strong,J. Smith-Cameron,Dagmara Dominczyk,Scott Nicholson,Hiam Abbass,Justine Lupe,David Rasche,Arian Moayed,Rob Yang,Juliana Canfield,Fisher Stevens","1, ,hour",30
Fleabag,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,,2016–2019,8.7,"Comedy,Drama","Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun","27, ,minutes",12
Invincible,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,,2021– ,8.7,"Animation,Action,Adventure","Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Kevin Michael Richardson,Walton Goggins,Gillian Jacobs,Zachary Quinto,Andrew Rannells,Jason Mantzoukas,Khary Payton,Chris Diamantopoulos,Melise,Mark Hamill,Ross Marquand,Clancy Brown,Fred Tatasciore","50, ,minutes",13
Oz,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,,1997–2003,8.7,"Crime,Drama,Thriller","Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters","55, ,minutes",56
Moi Claude empereur,The history of the Roman Empire as experienced by one of its rulers.,"Original title: I, Claudius",1976,8.8,"Biography,Drama,History","Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley","11, ,hours, ,9, ,minutes",13
Dragon Ball Z,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",,1989–2003,8.7,"Animation,Action,Adventure","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Jillian Michaels,Kyle Hebert,Michael Dobson,Kirby Morrow,Ted Cole,Cynthia Cranz","24, ,minutes",277
Rome,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,,2005–2007,8.7,"Action,Drama,History","Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman","52, ,minutes",22
Larry et son nombril,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,Original title: Curb Your Enthusiasm,2000– ,8.7,Comedy,"Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes,Ellia English,Julia Louis-Dreyfus","28, ,minutes",110
Dragon Ball Z,The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.,Original title: Dragon Ball Z: Doragon bôru zetto,1989–1996,8.7,"Animation,Action,Adventure","Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya","24, ,minutes",291
Vinland Saga,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,,2019– ,8.8,"Animation,Action,Adventure","Keith Silverstein,Zach Aguilar,Ben Diskin,Ray Chase,Kira Buckland,Patrick Seitz,Allegra Clark,J. Michael Tatum,Abby Trott,Ryan Bartley,Debi Derryberry,Aleks Le,Sean Chiplock,D.C. Douglas,Daman Mills,Kellen Goff,Kyle McCarley,Billy Kametz","24, ,minutes",24
BoJack Horseman,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",,2014–2020,8.7,"Animation,Comedy,Drama","Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz","25, ,minutes",77
One Punch Man,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",Original title: One Punch Man: Wanpanman,2015–2019,8.8,"Animation,Action,Comedy","Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma","24, ,minutes",25
Dark,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",,2017–2020,8.8,"Crime,Drama,Mystery","Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Christian Hutcherson,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Tamar Pelzig","1, ,hour",26
À la Maison Blanche,Inside the lives of staffers in the West Wing of the White House.,Original title: The West Wing,1999–2006,8.8,Drama,"Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith","44, ,minutes",155
Peaky Blinders,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",,2013– ,8.8,"Crime,Drama","Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Natasha O'Keeffe,Harry Kirton,Joe Cole,Packy Lee,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Jordan Bolger,Sam Neill,Tom Hardy","1, ,hour",36
Steins;Gate,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",,2011–2015,8.8,"Animation,Comedy,Drama","Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto","24, ,minutes",26
Better Call Saul,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",,2015–2022,8.8,"Crime,Drama","Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Kerry Condon,Mark Margolis,Cara Pifko,Jeremiah Bitsui,Dennis Boutsikaris,Rex Linn,Josh Fadem,Julian Bonfiglio,Ray Campbell,John Christian Love","46, ,minutes",63
The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",,2019– ,8.8,"Action,Adventure,Fantasy","Pedro Pascal,Carl Weathers,Barry Lowin,Gina Carano,Giancarlo Esposito,Chris Bartlett,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Nick Nolte,Werner Herzog,Taika Waititi,Emily Swallow,Gabriel Ebert","40, ,minutes",24
Freaks & Geeks,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,Original title: Freaks and Geeks,1999–2000,8.7,"Comedy,Drama","Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi","44, ,minutes",18
Ted Lasso,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",,2020– ,8.8,"Comedy,Drama,Sport","Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,Hannah Waddingham,Jeremy Swift,Phil Dunster,Juno Temple,Toheeb Jimoh,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Adam Colborne,Bronson Webb,Kevin Garry","30, ,minutes",23
Philadelphia,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Original title: It's Always Sunny in Philadelphia,2005– ,8.8,Comedy,"Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,David Zdunich,Sandy Martin,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman","22, ,minutes",162
Blackadder Goes Forth,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",,1989,8.8,"Comedy,War","Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Jeremy Hardy,Rik Mayall,Geoffrey Palmer,Miranda Richardson,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook","2, ,hours, ,55, ,minutes",6
Narcos,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",,2015–2017,8.8,"Biography,Crime,Drama","Pedro Pascal,Lizbeth Eden,Wagner Moura,Boyd Holbrook,Alberto Ammann,Muratcan Savci,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie","49, ,minutes",30
L'hôtel en folie,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Original title: Fawlty Towers,1975–1979,8.7,Comedy,"John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,Michael Gwynn,André Maranne,Bruce Boa,Ken Campbell,Nicky Henson,Geoffrey Palmer","30, ,minutes",12
Chappelle's Show,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,,2003–2006,8.7,"Comedy,Music","Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Díaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr","22, ,minutes",33
Kota Factory,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",,2019–2021,9.2,"Comedy,Drama","Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Abhishake Jha,Sachin Vidrohi,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera,Avi Singh","45, ,minutes",10
La Forêt de l'Étrange,Two brothers find themselves lost in a mysterious land and try to find their way home.,Original title: Over the Garden Wall,2014,8.8,"Animation,Adventure,Drama","Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Noureen DeWulf,Bebe Neuwirth,Deborah Voigt","22, ,minutes",10
Twin Peaks,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,,1990–1991,8.8,"Crime,Drama,Mystery","Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe","47, ,minutes",30
Black Mirror,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",,2011– ,8.8,"Drama,Sci-Fi,Thriller","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Gugu Mbatha-Raw,Wyatt Russell,Alex Lawther,Malachi Kirby","1, ,hour",22
Orgueil et préjugés,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",Original title: Pride and Prejudice,1995,8.8,"Drama,Romance","Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt","5, ,hours, ,27, ,minutes",6
Nathan for You,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",,2013–2017,8.9,"Documentary,Comedy","Nathan Fielder,Anthony Filosa,Brian S. Wolfe,Simon Kellog,William Heath,Salomon Flores,Tony Napoli,James Bailey,Sue Stanford,Cornelius Ladd,Kyle Heitz,Billy Smalling,Marcos Mateo Ochoa,Andy Farshidian,Jason Stone,Corey Calderwood,H. Jon Benjamin,Jennifer Anderton","30, ,minutes",32
Friends,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,,1994–2004,8.8,"Comedy,Romance","Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Aisha Tyler,Giovanni Ribisi","22, ,minutes",235
"Monty Python's Flying Circus ; Absurde, n'est-il pas?",The original surreal sketch comedy showcase for the Monty Python troupe.,Original title: Monty Python's Flying Circus,1969–1974,8.8,Comedy,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,Monty Python,Ian Davidson,John Hughman,The Fred Tomlinson Singers,Bob Raymond,Connie Booth,Lyn Ashley,Frank Lester,Rita Davies,Maureen Flanagan,Donna Reading","30, ,minutes",45
Le bateau,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,Original title: Das Boot,1985–1987,8.8,"Drama,Thriller,War","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme","4, ,hours, ,53, ,minutes",3
Dexter: New Blood,"Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.",,2021– ,9.0,"Crime,Drama,Mystery","Michael C. Hall,Jack Alcott,Julia Jones,Johnny Sequoyah,Alano Miller,Jennifer Carpenter,David Magidoff,Clancy Brown,Michael Cyril Creighton,Katy Sullivan,Steve M. Robertson,Oscar Wahlberg,Andrew Fama,Dustin Tucker,Dee Nelson,Armen Garo,Fredric Lehne,Gizel Jimenez",,10
Souvenirs de Gravity Falls,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",Original title: Gravity Falls,2012–2016,8.9,"Animation,Action,Adventure","Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Gregg Turkington,Jennifer Coolidge,Carl Faruolo,Niki Yang,Dee Bradley Baker,T.J. Miller,Will Forte,Grey Griffin,Thurop Van Orman","23, ,minutes",40
TVF Pitchers,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,,2015,9.1,"Comedy,Drama","Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan,Akanksha Thakur,Maanvi Gagroo,Gopal Datt,Jaimini Pathak,Pranav Bhasin,Rajesh Sharma,Suneel Sinha,Biswapati Sarkar,Arnav Bhasin,Aditi Singh,Natasha Azad,Manjiri Pupala,Abhishek Banerjee,Manuj Sharma","40, ,minutes",5
Seinfeld,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,,1989–1998,8.8,Comedy,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,Ruth Cohen,Wayne Knight,Norman Brenner,Heidi Swedberg,Estelle Harris,Jerry Stiller,Liz Sheridan,John O'Hurley,Barney Martin,Len Lesser,Deck McKenzie,Richard Herd,Peggy Lane,Richard Fancy","22, ,minutes",173
Last Week Tonight with John Oliver,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,,2014– ,8.8,"Comedy,History,News","John Oliver,David Kaye,Ryan Barger,Noel MacNeal,Alberto Bonilla,H. Jon Benjamin,Gilbert Gottfried,Rachel Dratch,James Wojtal,George Clooney,Kyle Ploof,Moujan Zolfaghari,Paul McGinnis,Alex Webb,Thomas Kopache,Stephanie D'Abruzzo,Jack McBrayer,Frances Mitchell","30, ,minutes",240
